PID,season,lg,team,playoffs,abbreviation,
1,2021,NBA,Atlanta Hawks,TRUE,ATL,
2,2021,NBA,Boston Celtics,TRUE,BOS,
3,2021,NBA,Brooklyn Nets,TRUE,BRK,
4,2021,NBA,Charlotte Hornets,FALSE,CHO,
5,2021,NBA,Chicago Bulls,FALSE,CHI,
6,2021,NBA,Cleveland Cavaliers,FALSE,CLE,
7,2021,NBA,Dallas Mavericks,TRUE,DAL,
8,2021,NBA,Denver Nuggets,TRUE,DEN,
9,2021,NBA,Detroit Pistons,FALSE,DET,
10,2021,NBA,Golden State Warriors,FALSE,GSW,
11,2021,NBA,Houston Rockets,FALSE,HOU,
12,2021,NBA,Indiana Pacers,FALSE,IND,
13,2021,NBA,Los Angeles Clippers,TRUE,LAC,
14,2021,NBA,Los Angeles Lakers,TRUE,LAL,
15,2021,NBA,Memphis Grizzlies,TRUE,MEM,
16,2021,NBA,Miami Heat,TRUE,MIA,
17,2021,NBA,Milwaukee Bucks,TRUE,MIL,
18,2021,NBA,Minnesota Timberwolves,FALSE,MIN,
19,2021,NBA,New Orleans Pelicans,FALSE,NOP,
20,2021,NBA,New York Knicks,TRUE,NYK,
21,2021,NBA,Oklahoma City Thunder,FALSE,OKC,
22,2021,NBA,Orlando Magic,FALSE,ORL,
23,2021,NBA,Philadelphia 76ers,TRUE,PHI,
24,2021,NBA,Phoenix Suns,TRUE,PHO,
25,2021,NBA,Portland Trail Blazers,TRUE,POR,
26,2021,NBA,Sacramento Kings,FALSE,SAC,
27,2021,NBA,San Antonio Spurs,FALSE,SAS,
28,2021,NBA,Toronto Raptors,FALSE,TOR,
29,2021,NBA,Utah Jazz,TRUE,UTA,
30,2021,NBA,Washington Wizards,TRUE,WAS,
31,2020,NBA,Atlanta Hawks,FALSE,ATL,
32,2020,NBA,Boston Celtics,TRUE,BOS,
33,2020,NBA,Brooklyn Nets,TRUE,BRK,
34,2020,NBA,Charlotte Hornets,FALSE,CHO,
35,2020,NBA,Chicago Bulls,FALSE,CHI,
36,2020,NBA,Cleveland Cavaliers,FALSE,CLE,
37,2020,NBA,Dallas Mavericks,TRUE,DAL,
38,2020,NBA,Denver Nuggets,TRUE,DEN,
39,2020,NBA,Detroit Pistons,FALSE,DET,
40,2020,NBA,Golden State Warriors,FALSE,GSW,
41,2020,NBA,Houston Rockets,TRUE,HOU,
42,2020,NBA,Indiana Pacers,TRUE,IND,
43,2020,NBA,League Average,FALSE,NA,
44,2020,NBA,Los Angeles Clippers,TRUE,LAC,
45,2020,NBA,Los Angeles Lakers,TRUE,LAL,
46,2020,NBA,Memphis Grizzlies,FALSE,MEM,
47,2020,NBA,Miami Heat,TRUE,MIA,
48,2020,NBA,Milwaukee Bucks,TRUE,MIL,
49,2020,NBA,Minnesota Timberwolves,FALSE,MIN,
50,2020,NBA,New Orleans Pelicans,FALSE,NOP,
51,2020,NBA,New York Knicks,FALSE,NYK,
52,2020,NBA,Oklahoma City Thunder,TRUE,OKC,
53,2020,NBA,Orlando Magic,TRUE,ORL,
54,2020,NBA,Philadelphia 76ers,TRUE,PHI,
55,2020,NBA,Phoenix Suns,FALSE,PHO,
56,2020,NBA,Portland Trail Blazers,TRUE,POR,
57,2020,NBA,Sacramento Kings,FALSE,SAC,
58,2020,NBA,San Antonio Spurs,FALSE,SAS,
59,2020,NBA,Toronto Raptors,TRUE,TOR,
60,2020,NBA,Utah Jazz,TRUE,UTA,
